Sample.ID,Class,X405,X435,X450,X470,X505,X525,X570,X590,X630,X645,X660,X700,X850,X870,X890,X910,X940,X970,StdDev.405,StdDev.435,StdDev.450,StdDev.470,StdDev.505,StdDev.525,StdDev.570,StdDev.590,StdDev.630,StdDev.645,StdDev.660,StdDev.700,StdDev.850,StdDev.870,StdDev.890,StdDev.910,StdDev.940,StdDev.970
b2_100a,100,5.331546,6.359616,7.57517,9.707194,10.32885,9.598778,8.22436,12.41567,21.56684,25.14449,27.26657,38.50117,41.68532,40.15289,37.78469,33.70307,32.56672,27.66099,0.7065651,0.9179394,1.125541,1.472237,1.561961,1.466869,1.256357,1.975601,2.74974,2.885919,2.96819,3.295873,2.692045,2.699358,2.742575,2.628219,2.629597,2.537262
b2_100b,100,5.233526,6.190344,7.414042,9.63845,10.28322,9.544926,8.112049,12.57699,21.77168,25.37088,27.60826,39.59681,41.48317,39.83568,37.36804,33.28614,32.16671,27.29732,0.8414908,1.048783,1.287332,1.732992,1.793746,1.683837,1.420623,2.391888,3.475419,3.633687,3.792741,4.413048,3.28126,3.233465,3.215521,2.982138,2.968039,2.782989
b2_100c,100,5.249427,6.156165,7.448216,9.85092,10.53549,9.767352,8.242996,12.9184,22.27153,25.94258,28.26609,40.77819,42.34049,40.58887,38.00558,33.73273,32.58995,27.56701,0.8319874,1.046866,1.307384,1.806661,1.826786,1.717502,1.481333,2.358026,3.612479,3.803371,3.924659,4.027963,3.27515,3.261222,3.280803,3.091013,3.081639,2.90263
b2_100d,100,5.292216,6.293716,7.532385,9.701455,10.24872,9.60019,8.428821,12.85618,20.95379,24.39705,26.81194,40.29338,40.88072,39.12002,36.57388,32.60031,31.5402,26.90133,0.769459,1.008263,1.260357,1.699802,1.755165,1.662961,1.476704,2.48713,3.776212,3.983628,4.160299,4.688519,3.567204,3.510367,3.478104,3.227943,3.213907,2.993581
b2_100e,100,5.256432,6.182445,7.406127,9.654954,10.30543,9.542143,8.049461,12.3445,21.50971,24.95426,26.96342,37.36215,39.78464,38.37214,36.16024,32.45347,31.39131,26.82883,0.7769334,1.012733,1.268609,1.736076,1.797177,1.686814,1.453668,2.39209,3.348871,3.532589,3.726912,4.574416,3.530842,3.422235,3.333737,3.033921,3.016233,2.781158
b3_00a,0,7.869545,11.75497,15.50593,21.73498,24.75184,23.0933,19.80005,28.42217,45.66239,50.02199,52.10695,59.95136,61.67904,60.07727,57.5928,50.32608,48.16245,39.05601,1.349942,2.177438,2.775942,3.518048,3.892951,3.795628,3.463637,4.307318,4.490456,4.410859,4.434506,4.307746,4.147207,4.079864,4.140962,3.856025,3.883619,3.859591
b3_00b,0,8.026634,11.30933,15.36372,22.66114,25.06704,23.23181,20.03055,27.84829,44.98251,49.464,51.61796,59.7942,61.94381,60.34993,57.85863,50.50174,48.31962,39.16853,1.487406,2.224484,2.91969,3.966614,4.269906,4.146301,3.811837,4.624567,4.700829,4.548119,4.535455,4.232906,3.980506,3.928286,3.990875,3.76412,3.80489,3.851552
b3_00c,0,8.241072,11.53238,15.65771,23.02833,25.47699,23.64872,20.54103,28.47858,45.6415,50.04818,52.12063,59.93419,61.64778,60.08115,57.60896,50.39911,48.26763,39.2257,1.535153,2.275595,2.965635,4.041745,4.294484,4.172155,3.888678,4.597641,4.607843,4.481481,4.457448,4.216619,4.067447,4.01715,4.095423,3.860812,3.907604,3.915284
b3_00d,0,8.335975,11.62416,15.88127,23.48316,25.92753,24.03766,20.76242,28.76762,45.98836,50.43211,52.56326,60.56038,62.30552,60.64962,58.06755,50.63375,48.45633,39.18912,1.462474,2.147549,2.760372,3.672166,3.904798,3.814828,3.546001,4.229263,4.05231,3.875265,3.854951,3.668722,3.581779,3.513401,3.564126,3.32024,3.360631,3.423113
b3_00e,0,7.981753,11.23191,15.29459,22.65434,25.02834,23.17234,19.97108,27.84214,45.03677,49.4907,51.63514,59.75639,61.9068,60.29997,57.80163,50.50869,48.35408,39.25706,1.442214,2.166042,2.80505,3.777142,4.029961,3.918325,3.611941,4.31846,4.332737,4.210934,4.210679,4.040907,3.943276,3.892162,3.95894,3.712463,3.756418,3.817841
b3_10a,10,6.955774,10.3901,13.43992,17.98911,20.6154,19.51615,17.16839,26.33943,40.42656,44.65665,47.45042,59.89643,57.17242,55.39528,52.86318,46.73808,44.96488,37.37968,1.12856,1.989083,2.633899,3.480728,4.023153,3.851578,3.340045,4.330143,5.244777,5.110048,4.91753,4.002813,3.928759,3.950034,4.039275,3.816324,3.828352,3.707735
b3_10b,10,7.174853,10.77231,13.93885,18.62094,21.51899,20.39075,17.84655,27.62478,42.3387,46.5092,49.22327,60.93172,57.93344,56.18264,53.68864,47.45546,45.64719,37.88939,1.199383,2.06735,2.706127,3.452663,3.916696,3.77384,3.313867,4.321593,4.984161,4.900726,4.834408,4.507174,4.266293,4.244366,4.28091,3.978719,3.992203,3.820657
b3_10c,10,7.156531,10.48099,13.68426,18.73155,21.17062,19.94848,17.54605,26.05453,40.1847,44.39528,47.08111,59.13296,57.70885,55.96578,53.42628,47.13761,45.33357,37.58894,1.092458,1.924248,2.547579,3.367345,3.851954,3.701828,3.275901,4.216706,4.972984,4.845906,4.692296,3.8641,3.73962,3.7589,3.848058,3.658216,3.685605,3.620903
b3_10d,10,7.196955,10.35002,13.64735,19.12316,21.28875,19.97776,17.63048,25.52809,39.51149,43.76927,46.46484,58.54251,57.87159,56.12578,53.57232,47.25881,45.46199,37.72334,1.121626,1.891735,2.490337,3.315141,3.663472,3.515071,3.136189,3.844456,4.258528,4.1299,3.997963,3.50178,3.339741,3.353588,3.445213,3.278866,3.315669,3.347862
b3_10e,10,7.315074,10.6676,14.09006,19.70516,22.12905,20.77218,18.21533,26.29362,40.80067,44.96946,47.46983,58.46223,58.11807,56.43468,53.92338,47.53461,45.68437,37.77252,1.156887,1.927778,2.46144,3.033487,3.389654,3.316973,3.017445,3.948922,4.131909,4.022298,4.012146,3.854969,3.603108,3.563994,3.623161,3.4129,3.446349,3.445512
b3_20a,20,6.686156,9.707628,12.41828,16.43493,18.7376,17.74835,15.597,24.59692,37.66566,41.80477,44.79457,58.71766,54.36379,52.49949,49.94917,44.36329,42.77632,35.91226,0.9423599,1.668323,2.225934,2.954793,3.360015,3.227434,2.84818,3.641735,4.215305,4.107032,3.981028,3.415761,3.331061,3.362053,3.426582,3.287862,3.303663,3.27651
b3_20b,20,6.64091,9.725712,12.52909,16.74087,19.05579,18.03127,15.88634,24.83675,38.13298,42.35869,45.33645,58.96095,55.43681,53.59057,51.02869,45.20606,43.54908,36.38896,1.019946,1.789549,2.385153,3.200372,3.600493,3.451838,3.062424,3.928533,4.631733,4.585422,4.537612,4.33542,4.053697,4.053962,4.070351,3.796593,3.798049,3.679685
b3_20c,20,6.479869,9.502033,12.29473,16.58276,18.84677,17.81501,15.72064,24.25448,37.42833,41.64475,44.59612,58.38301,55.43015,53.6015,51.0466,45.1998,43.52089,36.32116,1.193042,1.963477,2.616347,3.535906,3.970353,3.799377,3.364008,4.338297,5.229265,5.218798,5.18166,4.880021,4.685521,4.673857,4.6807,4.297092,4.270314,3.993326
b3_20d,20,6.791519,9.549033,12.45251,17.26037,19.1895,18.02247,15.90452,23.60697,36.80169,41.04833,43.88838,57.10299,55.56229,53.77029,51.19815,45.25808,43.57519,36.30021,0.9269089,1.556131,2.111776,2.957528,3.248958,3.100951,2.778676,3.384952,3.763273,3.644556,3.534019,3.034592,2.899047,2.916178,2.959872,2.821496,2.839671,2.864994
b3_20e,20,6.727108,9.4464,12.30966,17.03118,18.81176,17.68071,15.70342,23.11374,35.62734,39.79776,42.679,56.48479,54.81299,52.97344,50.37176,44.54029,42.89687,35.80005,1.010087,1.64475,2.246966,3.228153,3.553354,3.370755,2.974378,3.698553,4.401876,4.309972,4.184337,3.620713,3.45621,3.476101,3.521044,3.324081,3.325071,3.243825
b3_30a,30,6.390389,9.304646,11.90797,15.71277,17.86027,16.94156,14.99033,23.76239,35.89159,39.9986,43.1628,58.80229,53.51767,51.55548,48.93953,43.56269,42.05681,35.58754,1.10053,1.893977,2.582608,3.54863,4.046681,3.857812,3.374508,4.353079,5.370625,5.310373,5.189839,4.552195,4.408792,4.427281,4.489953,4.182272,4.180623,3.948033
