Sample ID,Class,405,435,450,470,505,525,570,590,630,645,660,700,850,870,890,910,940,970,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18
X1_12283,2,8.302541,12.50955,16.41874,22.1163,25.79792,24.49699,21.02503,33.4006,50.72573,54.9959,57.54473,67.8416,67.69607,66.28603,63.29798,56.81104,55.55891,48.68618,1.950549,3.178666,3.985996,4.866111,5.438828,5.332995,4.716256,6.248209,6.617113,6.426113,6.380235,5.91843,5.570647,5.647166,5.566778,5.358659,5.446671,5.546534
X2_12283,2,8.41256,12.32474,16.06935,21.65259,25.5476,24.18722,20.42427,32.71187,51.06469,55.1795,57.4552,66.4713,66.44191,64.98769,62.01978,55.52655,54.06864,46.604,1.780763,2.884143,3.612634,4.401698,5.026,4.910163,4.298339,5.850755,6.356667,6.15756,6.108733,5.620128,5.079807,5.156278,5.073487,4.923633,5.009529,5.150229
X3_12283,2,8.719686,13.06247,17.15341,23.27115,26.75016,25.35996,21.81574,33.73422,50.90897,55.21537,57.76868,68.13523,69.07943,67.71098,64.68538,58.14341,56.92363,50.10604,1.649169,2.775975,3.446315,4.082308,4.60774,4.529392,4.008856,5.428091,5.687655,5.498403,5.446506,5.001319,4.712284,4.78864,4.70898,4.525057,4.598572,4.695133
X4_12283,2,9.129322,13.59848,17.63837,23.24604,27.9055,26.58305,22.29029,37.94835,58.72877,62.88995,65.19543,72.94495,68.76591,67.31563,64.32634,57.83262,56.60073,49.74492,2.017014,3.269295,4.044694,4.833652,5.412753,5.290392,4.644987,5.994406,6.23567,6.034705,5.979881,5.590126,5.363838,5.438573,5.355591,5.14373,5.232871,5.318064
X5_12283,2,8.921535,13.25221,17.29618,23.14014,27.02211,25.68561,21.86074,35.10623,53.67197,57.98925,60.53887,69.97671,67.9037,66.40087,63.39292,56.82896,55.52027,48.39624,1.838307,2.93734,3.614622,4.292672,4.771722,4.672152,4.130373,5.49923,5.953853,5.726968,5.645679,5.014203,4.662508,4.727466,4.668666,4.51614,4.595189,4.7051
X1_12297,2,8.713444,12.64178,16.27373,21.55684,25.3007,23.98805,19.91494,31.99609,49.51588,53.55446,55.66363,65.10448,66.49089,65.14919,62.09328,55.70423,54.3997,47.00353,1.800721,2.841987,3.525707,4.145558,4.660082,4.573148,3.898577,5.293861,5.605217,5.419075,5.349567,5.035972,4.731519,4.781398,4.631384,4.352817,4.410424,4.454664
X2_12297,2,8.946061,13.09612,16.78395,21.90184,26.12137,24.86825,20.50563,34.99713,54.06003,58.04682,60.18613,69.10983,67.02293,65.55843,62.42782,56.10601,54.881,47.65932,1.868375,2.967098,3.676305,4.350591,4.809427,4.715857,4.079926,5.354757,6.068963,5.943319,5.851677,5.334478,4.888776,4.939502,4.809353,4.572853,4.650359,4.693632
X3_12297,2,8.940798,13.31535,17.12912,22.36611,26.73067,25.49151,21.15505,36.13166,55.82643,60.0052,62.19657,71.06412,68.37049,66.97234,63.87501,57.51936,57.46465,49.31921,1.885112,3.047486,3.763951,4.457268,4.95487,4.847985,4.245562,5.383903,5.739347,5.636697,5.57937,5.264732,4.895381,4.965264,4.869371,4.667961,4.838999,4.864579
X4_12297,2,8.721128,12.96072,16.78412,22.16395,26.19609,24.92012,20.77138,34.75752,53.67833,57.87907,60.15395,69.5865,68.06827,66.64368,63.43603,56.88768,55.65184,48.30982,1.82763,3.058517,3.808756,4.492656,4.992356,4.891961,4.28412,5.48885,5.824649,5.614141,5.499138,4.870585,4.458462,4.555628,4.49985,4.399724,4.50703,4.680331
X5_12297,2,8.395316,12.55842,16.45682,22.22589,25.29632,24.00636,20.6156,31.12596,47.23024,51.51155,53.90874,64.79146,67.5002,66.12891,62.90709,56.23455,54.94524,47.49588,1.515804,2.579419,3.22657,3.787792,4.196855,4.149239,3.670439,4.642575,4.712356,4.540676,4.479964,4.109591,4.072075,4.128582,4.034659,3.865746,3.942893,4.039194
